測站代碼 測站名稱 震度值 震央距(Km) 垂直向(gal) 南北向(gal) 東西向(gal) TWD97經度 TWD97緯度
TCU008 青埔國小 4 134.03 24.82 64.66 66.70 121.21 25.01
TCU009 新街國小 4 129.89 22.56 63.28 69.92 121.23 24.96
TCU083 中央大學 5 129.25 33.14 114.78 89.30 121.19 24.97
TCU007 青溪國小 4 136.73 27.76 72.38 57.66 121.32 25.00
TCU092 中埔國小 5 136.69 27.34 62.08 87.14 121.29 25.01
NSK 三光國小 4 106.52 39.72 54.07 68.43 121.37 24.67
TCU085 三光國小 4 106.52 41.46 52.34 62.08 121.37 24.67
TCU006 大同國小 4 121.96 33.08 75.96 59.16 121.15 24.91
TCU147 核能研究所 5 119.38 54.56 131.36 111.56 121.25 24.85
TCU014 大坑國小 4 141.29 17.46 74.28 55.74 121.32 25.04
TCU003 草漯國小 5 136.23 22.26 80.22 50.90 121.14 25.05
TCU010 崙坪國小 5 131.83 28.06 70.16 89.66 121.16 25.00
KAU058 高雄應用科技大學 3 142.51 13.22 23.74 22.66 120.33 22.65
KAU062 高雄女中 4 146.54 15.80 33.20 27.40 120.29 22.62
KAU054 民生國小 5 64.52 29.78 78.24 84.16 120.72 23.28
KAU012 崇德國小 5 116.92 23.32 45.88 84.52 120.38 22.88
KAU001 小林國小 4 78.60 40.14 21.78 42.58 120.64 23.16
KAU047 甲仙國中 4 88.37 20.34 41.92 32.66 120.59 23.08
SGS 甲仙國中 4 88.37 19.62 38.28 28.71 120.59 23.08
KAU010 兆湘國小 4 130.10 11.30 30.98 31.58 120.29 22.79
KAU017 林園國小 4 155.12 12.20 27.22 22.90 120.39 22.51
KAU020 美濃國小 4 109.15 19.38 75.42 53.96 120.54 22.90
KAU050 桃源國小 4 76.72 23.02 37.26 41.76 120.77 23.16
STY 桃源國小 4 76.72 20.10 39.24 36.85 120.77 23.16
KAU011 梓官國小 4 133.63 13.70 54.50 56.34 120.26 22.76
KAU015 大華國小 4 141.41 13.46 30.26 26.98 120.34 22.65
KAU018 旗山國小 4 112.16 15.68 24.82 34.28 120.48 22.89
KAU007 鎮北國小 3 141.68 13.10 24.22 24.82 120.37 22.64
TAP060 德和國小 4 171.21 13.10 34.52 35.36 121.73 25.15
TAP104 協和電廠 4 171.93 17.76 32.60 37.02 121.74 25.16
TAP059 隆聖國小 4 169.33 17.76 39.30 29.66 121.69 25.16
CHY026 永定國小 4 41.61 69.62 65.80 76.08 120.42 23.80
CHY004 頂湖國小 5 71.32 39.18 93.48 94.68 120.18 23.60
CHY033 文正國小 4 70.16 33.92 58.62 67.76 120.22 23.54
CHY032 北辰國小 5 61.13 61.66 72.50 86.20 120.30 23.58
CHY028 山峰國小 7 32.30 335.50 749.90 624.16 120.62 23.63
CHY029 興昌國小 6 39.43 157.56 233.16 282.98 120.54 23.61
WGK 東和國小 7 31.80 175.62 445.98 337.83 120.57 23.68
CHY076 四湖國小 4 65.02 31.46 70.94 68.66 120.23 23.64
WSF 四湖 4 65.02 32.06 66.99 65.08 120.23 23.64
CHY024 林中國小 6 23.76 141.40 162.16 276.34 120.61 23.75
CHY002 廉使國小 5 43.66 96.06 134.64 108.14 120.42 23.72
CHY027 麥寮國小 4 58.99 45.88 51.26 54.02 120.26 23.75
CHY025 饒平國小 5 31.74 169.70 152.04 158.56 120.52 23.78
CHY082 巃巖國小 4 54.46 78.36 63.28 61.02 120.31 23.72
TCU017 新竹園區高中 5 104.65 48.44 123.22 82.12 121.02 24.78
TCU096 新竹教育大學 5 105.29 36.66 106.00 54.02 120.97 24.79
TCU015 茄苳國小 5 101.02 65.62 122.14 128.12 120.95 24.76
TCU098 內湖國小 5 99.10 48.16 97.86 103.54 120.91 24.74
HSN 新竹氣象站 5 109.94 26.80 80.39 54.07 121.01 24.83
TCU081 新竹氣象站 5 109.94 36.12 93.26 76.74 121.01 24.83
TCU094 二重國小 5 104.29 38.94 88.34 70.76 121.06 24.77
TCU026 芎林國小 5 105.59 56.22 89.48 116.04 121.08 24.77
TCU095 峨眉國小 7 94.96 250.80 684.52 366.54 121.02 24.69
TCU018 湖口國小 4 116.29 31.22 55.50 55.56 121.06 24.88
TCU025 內灣國小 4 101.36 36.06 60.66 72.14 121.18 24.70
CHY 嘉義氣象站 5 55.97 46.42 144.51 146.43 120.43 23.50
CHY009 育人國小 5 59.00 76.50 147.20 147.32 120.42 23.47
CHY046 蘭潭國小 5 54.95 79.86 186.20 142.66 120.47 23.48
CHY036 三和國小 6 43.61 104.38 199.60 266.96 120.49 23.61
CHY014 大埔國小 6 66.02 97.74 254.68 223.88 120.59 23.29
WTP 大埔國小坪林分校 4 70.23 24.88 43.54 44.50 120.62 23.24
CHY087 澐水國小 5 59.94 55.14 125.32 132.36 120.53 23.38
CHY012 新塭國小 4 88.85 29.02 61.42 51.86 120.16 23.33
CHY044 布袋國小 4 84.22 24.70 67.82 54.80 120.17 23.38
CHY008 雙溪國小 5 68.89 72.32 117.36 126.02 120.28 23.48
CHY035 龍山國小 5 43.75 106.24 244.34 245.60 120.59 23.52
ALS 阿里山氣象站 5 37.89 86.13 145.95 212.94 120.81 23.51
CHY074 阿里山氣象站 5 37.89 97.68 157.02 229.20 120.81 23.51
CHY006 梅山國小 6 40.23 211.02 351.46 348.00 120.56 23.58
CHY010 民和國小 5 51.02 138.82 170.84 221.20 120.55 23.46
CHY041 黎明國小 7 50.82 122.86 630.20 296.86 120.60 23.44
CHY042 永興國小 5 59.66 62.68 65.38 97.56 120.59 23.36
CHY039 月眉國小 5 60.53 38.34 96.84 113.70 120.35 23.52
TCU122 二水國小 6 21.42 236.02 255.64 207.44 120.62 23.81
TCU113 興華國小 5 43.87 80.22 71.96 69.50 120.40 23.89
WTC 西港國小 4 54.43 51.20 48.33 53.12 120.29 23.86
TCU116 田中國中 5 23.97 119.04 132.78 185.30 120.59 23.86
TCU111 和美國小 5 44.24 76.92 93.96 124.60 120.49 24.11
TCU119 芳苑國中 4 51.89 60.18 52.52 62.68 120.32 23.92
TCU123 華南國小 5 33.21 85.54 131.96 149.00 120.55 24.02
TCU120 同安國小 5 24.96 166.52 193.50 222.98 120.62 23.98
TCU110 員林國小 5 27.63 116.28 187.52 178.24 120.58 23.96
TCU118 永樂國小 5 43.23 99.94 92.48 115.56 120.43 24.00
TCU112 洛津國小 4 45.99 65.26 68.00 78.30 120.43 24.06
TCU115 溪湖國小 5 37.16 76.44 115.20 94.32 120.48 23.96
TCU106 彰化師範大學 5 37.30 115.86 122.26 157.38 120.56 24.08
TCU107 南郭國小 5 37.25 94.50 143.86 127.76 120.55 24.07
TCU109 大竹國小 5 35.72 132.96 159.16 149.00 120.58 24.08
TCU117 線西國中 5 47.73 89.96 113.46 121.30 120.47 24.13
CHY075 澎湖氣象站 4 132.34 15.26 37.02 37.08 119.56 23.57
PNG 澎湖氣象站 4 132.34 14.83 33.02 29.67 119.56 23.57
